,issue_key,issue_type,project_key,created,epic_link,has_change_story_point_sprint,summary,description,acceptance_criteria,summary_description_acceptance,original_story_points_sprint,creator,reporter,priority,num_all_changes,story_point,num_bugs_issue_link,num_comments,num_issue_links,num_sprints,num_changes_story_points_new,num_changes_summary_description_acceptance,num_sub_tasks,num_changes_sprint,num_changes_story_points_new_sprint,num_comments_before_sprint,num_comments_after_sprint,num_changes_text_before_sprint,num_changes_story_point_before_sprint,time_add_to_sprint,original_summary_sprint,original_description_sprint,original_acceptance_criteria_sprint,num_changes_summary_sprint,num_changes_description_sprint,num_changes_acceptance_criteria_sprint,num_different_words_all_text_sprint,num_ratio_words_all_text_sprint,original_summary_description_acceptance_sprint,num_changes_summary_description_acceptance_sprint,is_change_text_num_words_1,is_change_text_num_words_5,is_change_text_num_words_10,is_change_text_num_words_15,is_change_text_num_words_20,is_change_text_sp_sprint,time_until_add_to_sprint,num_issues_cretor_prev,num_unusable_issues_cretor_prev_text_word_1,num_unusable_issues_cretor_prev_text_word_1_ratio,num_unusable_issues_cretor_prev_text_word_5,num_unusable_issues_cretor_prev_text_word_5_ratio,num_unusable_issues_cretor_prev_text_word_10,num_unusable_issues_cretor_prev_text_word_10_ratio,num_unusable_issues_cretor_prev_text_word_15,num_unusable_issues_cretor_prev_text_word_15_ratio,num_unusable_issues_cretor_prev_text_word_20,num_unusable_issues_cretor_prev_text_word_20_ratio
0,CE-13,Task,CE,2017-02-14 06:55:22,,0,Let rocketchat track the ci for Cello,"A notification should be sent to the rocketchat channel when 

* some patchset happens
* ci testing finished",,"Let rocketchat track the ci for Cello $end$ A notification should be sent to the rocketchat channel when 

* some patchset happens
* ci testing finished $acceptance criteria:$",,Baohua Yang,Baohua Yang,Medium,2,,0,1,0,1,0,0,0,,0,583,1,0,0,2017-02-14 06:55:22,Let rocketchat track the ci for Cello,"A notification should be sent to the rocketchat channel when 

* some patchset happens
* ci testing finished",,0,0,0,0,0.0,"Let rocketchat track the ci for Cello $end$ A notification should be sent to the rocketchat channel when 

* some patchset happens
* ci testing finished $acceptance criteria:$",0,0,0,0,0,0,0,0.0,5,3,0.6,2,0.4,2,0.4,1,0.2,0,0.0
1,CE-139,Epic,CE,2017-09-09 01:13:49,,0,Release Cello v0.7,"# Verify existing features and fix bugs
 # Refine documentation
 # Update changeset",,"Release Cello v0.7 $end$ # Verify existing features and fix bugs
 # Refine documentation
 # Update changeset $acceptance criteria:$",,Baohua Yang,Baohua Yang,Medium,2,,0,1,1,1,0,0,0,,0,583,1,0,0,2017-09-09 01:13:49,Release Cello v0.7,"# Verify existing features and fix bugs
 # Refine documentation
 # Update changeset",,0,0,0,0,0.0,"Release Cello v0.7 $end$ # Verify existing features and fix bugs
 # Refine documentation
 # Update changeset $acceptance criteria:$",0,0,0,0,0,0,0,0.0,27,7,0.259259,5,0.185185,4,0.148148,3,0.111111,1,0.037037
2,CE-14,Task,CE,2017-02-15 22:15:25,,0,Have JIRA report for new issues in rocket chat,When new issues are created in Jira against a component have it report to a specific channel in rocketchat.   Ideally I think we only need this for the creation of a new issue.  People can then watch the specific Jira if they're interested or not for any following activity.  This should keep the noise for this to a minimum.  ,,Have JIRA report for new issues in rocket chat $end$ When new issues are created in Jira against a component have it report to a specific channel in rocketchat.   Ideally I think we only need this for the creation of a new issue.  People can then watch the specific Jira if they're interested or not for any following activity.  This should keep the noise for this to a minimum.   $acceptance criteria:$,,Rick Rine,Rick Rine,Medium,3,,0,0,0,1,0,0,0,,0,583,0,0,0,2017-02-15 22:15:25,Have JIRA report for new issues in rocket chat,When new issues are created in Jira against a component have it report to a specific channel in rocketchat.   Ideally I think we only need this for the creation of a new issue.  People can then watch the specific Jira if they're interested or not for any following activity.  This should keep the noise for this to a minimum.  ,,0,0,0,0,0.0,Have JIRA report for new issues in rocket chat $end$ When new issues are created in Jira against a component have it report to a specific channel in rocketchat.   Ideally I think we only need this for the creation of a new issue.  People can then watch the specific Jira if they're interested or not for any following activity.  This should keep the noise for this to a minimum.   $acceptance criteria:$,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,CE-145,Task,CE,2017-09-23 12:08:44,CE-139,0,Fix documentation structure,"Update doc structure, and add links.",,"Fix documentation structure $end$ Update doc structure, and add links. $acceptance criteria:$",,Baohua Yang,Baohua Yang,High,3,,0,1,1,1,0,0,0,,0,583,1,0,0,2017-09-23 12:08:44,Fix documentation structure,"Update doc structure, and add links.",,0,0,0,0,0.0,"Fix documentation structure $end$ Update doc structure, and add links. $acceptance criteria:$",0,0,0,0,0,0,0,0.0,28,7,0.25,5,0.178571,4,0.142857,3,0.107143,1,0.0357143
4,CE-18,Task,CE,2017-03-14 14:53:37,,0,Design a logo for Cello,"Need expert to help design a smooth logo!

pls help~~",,"Design a logo for Cello $end$ Need expert to help design a smooth logo!

pls help~~ $acceptance criteria:$",,Baohua Yang,Baohua Yang,Medium,10,,0,0,0,1,0,0,0,,0,583,0,0,0,2017-03-14 14:53:37,Design a logo for Cello,"Need expert to help design a smooth logo!

pls help~~",,0,0,0,0,0.0,"Design a logo for Cello $end$ Need expert to help design a smooth logo!

pls help~~ $acceptance criteria:$",0,0,0,0,0,0,0,0.0,6,3,0.5,2,0.333333,2,0.333333,1,0.166667,0,0.0
5,CE-19,Task,CE,2017-03-16 01:01:06,CE-2,0,Add tutorial for operation,"From Daniel Vielvoye <dvielvoye@gmail.com>

Hello, 

I'm trying Cello and would like to prepare a presentation to our management with the idea to promote the idea of ""blockchain platform as a Service"" in our community cloud environment. After installing cello (1 master and 2 workers) , I'm now facing the need to have some demo to confirm the setup works and demonstrate how this works . 
 
it would be nice to have a ready to deploy blockchain to deploy on Cello . This would allow to present a running experience of Cello and will also define the guideline to effectively deploy blockchains over Cello .(ideally such ""demo-chain"" would be available with the different blockchain engines supported by Cello. By the way a good instructions set will also be required on how to deploy code on the chain created in Cello

as a next step , I would like to be able to POC with a context meaningful  (so our business people can ""see"" what it can be used for) . Here I would like to have a t utorial : a step by step guide to have a newbie able to develop a basic application using a blockchain on Cello . This could be a Go or Java step by step development and deployment guide (a cookbook style) to write and demo a predefined ,limited scope, ""project"".

Are such demo/tutorial available for Cello ? ",,"Add tutorial for operation $end$ From Daniel Vielvoye <dvielvoye@gmail.com>

Hello, 

I'm trying Cello and would like to prepare a presentation to our management with the idea to promote the idea of ""blockchain platform as a Service"" in our community cloud environment. After installing cello (1 master and 2 workers) , I'm now facing the need to have some demo to confirm the setup works and demonstrate how this works . 
 
it would be nice to have a ready to deploy blockchain to deploy on Cello . This would allow to present a running experience of Cello and will also define the guideline to effectively deploy blockchains over Cello .(ideally such ""demo-chain"" would be available with the different blockchain engines supported by Cello. By the way a good instructions set will also be required on how to deploy code on the chain created in Cello

as a next step , I would like to be able to POC with a context meaningful  (so our business people can ""see"" what it can be used for) . Here I would like to have a t utorial : a step by step guide to have a newbie able to develop a basic application using a blockchain on Cello . This could be a Go or Java step by step development and deployment guide (a cookbook style) to write and demo a predefined ,limited scope, ""project"".

Are such demo/tutorial available for Cello ?  $acceptance criteria:$",,Baohua Yang,Baohua Yang,Medium,3,,0,0,1,1,0,0,0,,0,583,0,0,0,2017-03-16 01:01:06,Add tutorial for operation,"From Daniel Vielvoye <dvielvoye@gmail.com>

Hello, 

I'm trying Cello and would like to prepare a presentation to our management with the idea to promote the idea of ""blockchain platform as a Service"" in our community cloud environment. After installing cello (1 master and 2 workers) , I'm now facing the need to have some demo to confirm the setup works and demonstrate how this works . 
 
it would be nice to have a ready to deploy blockchain to deploy on Cello . This would allow to present a running experience of Cello and will also define the guideline to effectively deploy blockchains over Cello .(ideally such ""demo-chain"" would be available with the different blockchain engines supported by Cello. By the way a good instructions set will also be required on how to deploy code on the chain created in Cello

as a next step , I would like to be able to POC with a context meaningful  (so our business people can ""see"" what it can be used for) . Here I would like to have a t utorial : a step by step guide to have a newbie able to develop a basic application using a blockchain on Cello . This could be a Go or Java step by step development and deployment guide (a cookbook style) to write and demo a predefined ,limited scope, ""project"".

Are such demo/tutorial available for Cello ? ",,0,0,0,0,0.0,"Add tutorial for operation $end$ From Daniel Vielvoye <dvielvoye@gmail.com>

Hello, 

I'm trying Cello and would like to prepare a presentation to our management with the idea to promote the idea of ""blockchain platform as a Service"" in our community cloud environment. After installing cello (1 master and 2 workers) , I'm now facing the need to have some demo to confirm the setup works and demonstrate how this works . 
 
it would be nice to have a ready to deploy blockchain to deploy on Cello . This would allow to present a running experience of Cello and will also define the guideline to effectively deploy blockchains over Cello .(ideally such ""demo-chain"" would be available with the different blockchain engines supported by Cello. By the way a good instructions set will also be required on how to deploy code on the chain created in Cello

as a next step , I would like to be able to POC with a context meaningful  (so our business people can ""see"" what it can be used for) . Here I would like to have a t utorial : a step by step guide to have a newbie able to develop a basic application using a blockchain on Cello . This could be a Go or Java step by step development and deployment guide (a cookbook style) to write and demo a predefined ,limited scope, ""project"".

Are such demo/tutorial available for Cello ?  $acceptance criteria:$",0,0,0,0,0,0,0,0.0,7,3,0.428571,2,0.285714,2,0.285714,1,0.142857,0,0.0
6,CE-2,Epic,CE,2017-01-12 05:47:05,,0,Enhance cello documentation,"We need efficient documentation, e.g., guideline on how to contribute code to cello.",,"Enhance cello documentation $end$ We need efficient documentation, e.g., guideline on how to contribute code to cello. $acceptance criteria:$",,Baohua Yang,Baohua Yang,High,8,,0,3,2,1,0,1,1,,0,583,3,0,0,2017-01-13 08:15:30,Create/Update cello documentation,"We need efficient documentation, e.g., guideline on how to contribute code to cello.",,1,0,0,2,0.0526316,"Create/Update cello documentation $end$ We need efficient documentation, e.g., guideline on how to contribute code to cello. $acceptance criteria:$",1,1,0,0,0,0,0,26.4667,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,CE-20,Improvement,CE,2017-03-27 02:25:56,,0,Decouple the orchestration layer and agent layer code,"Move underly drivers to agent dir.

To support separate drivers layer.",,"Decouple the orchestration layer and agent layer code $end$ Move underly drivers to agent dir.

To support separate drivers layer. $acceptance criteria:$",,Baohua Yang,Baohua Yang,Medium,8,,0,1,0,1,0,2,0,,0,583,1,0,0,2017-03-27 02:25:56,Move underly drivers to agent dir,To support separate drivers layer.,,1,1,0,18,0.785714,Move underly drivers to agent dir $end$ To support separate drivers layer. $acceptance criteria:$,2,1,1,1,1,0,1,0.0,8,3,0.375,2,0.25,2,0.25,1,0.125,0,0.0
8,CE-22,Task,CE,2017-03-28 06:37:58,,0,The project misses some setup files,"Need to add those files.

.gitattributes
LICENSE
MAINTAINERS.md",,"The project misses some setup files $end$ Need to add those files.

.gitattributes
LICENSE
MAINTAINERS.md $acceptance criteria:$",,Baohua Yang,Baohua Yang,Medium,3,,0,0,0,1,0,0,0,,0,583,0,0,0,2017-03-28 06:37:58,The project misses some setup files,"Need to add those files.

.gitattributes
LICENSE
MAINTAINERS.md",,0,0,0,0,0.0,"The project misses some setup files $end$ Need to add those files.

.gitattributes
LICENSE
MAINTAINERS.md $acceptance criteria:$",0,0,0,0,0,0,0,0.0,9,4,0.444444,3,0.333333,3,0.333333,2,0.222222,0,0.0
9,CE-26,Improvement,CE,2017-04-11 01:29:18,,0,Enhance the contribution documentation,Add more instructions on how to make contribution to the project.,,Enhance the contribution documentation $end$ Add more instructions on how to make contribution to the project. $acceptance criteria:$,,Baohua Yang,Baohua Yang,Medium,3,,0,0,1,1,0,0,0,,0,583,0,0,0,2017-04-11 01:29:18,Enhance the contribution documentation,Add more instructions on how to make contribution to the project.,,0,0,0,0,0.0,Enhance the contribution documentation $end$ Add more instructions on how to make contribution to the project. $acceptance criteria:$,0,0,0,0,0,0,0,0.0,10,4,0.4,3,0.3,3,0.3,2,0.2,0,0.0
