issue_key,issue_type,project_key,created,time_add_to_sprint,creator,priority,original_summary_sprint,original_description_sprint,original_acceptance_criteria_sprint,original_story_points_sprint,num_comments_before_sprint,num_changes_text_before_sprint,num_changes_story_point_before_sprint,time_until_add_to_sprint,num_changes_summary_description_acceptance_sprint,num_different_words_all_text_sprint,is_change_text_num_words_5,is_change_text_num_words_10,is_change_text_num_words_15,is_change_text_num_words_20,num_issues_cretor_prev
QTBUG-33735,User Story,QTBUG,2013-09-30 05:25:27,2020-02-20 10:49:10.000,Kimi Arthur,P2: Important,QtConcurrent::mapped doesn't work with C++11 lambdas,"QtConcurrent::mapped currently supports function pointers, pointer to member-functions, and functors which define a nested typedef result_type as map and reduce functions. Lambda expressions don't have that typedef, so compilation fails. Workaround: stateless lambdas decay into function pointers, so you use the dereference operator to make them into function references, which again decay to function pointers, to force a function pointer deduction:  <code>  auto result = QtConcurrent::blockingMapped(someList, *[=](ListItem item){ return QString(""""); });  </code> QtConcurrent should not require result_type nested typedefs.",,13.0,16,2,0,3361283.716666667,0,0,0,0,0,0,0
QTBUG-40040,Task,QTBUG,2014-07-03 13:40:02,2020-02-26 14:10:41.000,Joni Poikelin,P3: Somewhat important,Move Undo Framework out of widgets,Currently undo framework is under widgets but it would be useful in other areas too. Such as console and QML/QtQuick based applications. Related discussions: https://lists.qt-project.org/pipermail/development/2011-December/000932.html https://lists.qt-project.org/pipermail/development/2012-February/thread.html#1818 (later continuation of the above) https://lists.qt-project.org/pipermail/development/2017-April/029382.html Related patches: https://codereview.qt-project.org/c/qt/qtbase/+/15857 https://codereview.qt-project.org/c/qt/qtbase/+/190704,,,4,3,0,2972190.65,0,0,0,0,0,0,0
QTBUG-68814,User Story,QTBUG,2018-06-12 15:32:40,2020-02-26 14:12:45.597,Gabriel de Dietrich,P2: Important,Native style support for Qt Quick Controls 2,"We want to support native styling in Qt Quick Controls so that application UIs developed with controls look native on standard desktop environments. UIs that want custom look wouldn't use this, but instead utilize the existing styling support in Qt Quick.

The imperative rendering API that QStyle relies on does not work optimally in a scene-graph based rendering world, like Qt Quick. Instead, we want a styling technology that generates scene graph nodes (or something that easily can be made into scene graph nodes, like visual assets).

As a first step, we duplicate the existing QStyle implementations from QtWidgets as a private API into QtQuickControls, and refactor it to not have any QWidget dependencies. Good if in the long run we don't have this duplication, but might not be realistic to have a unified architecture for both worlds.

Atlas-based style. Needs information about sizes, alignment, etc.

Investigate cascading.

QPainter-based and scenegraph-based. This also means text rendering.

Floating point based API.",,,1,3,0,898480.0932833333,13,607,1,1,1,1,0
QTBUG-79923,User Story,QTBUG,2019-11-11 11:18:43,2020-07-22 12:37:45.000,Edward Welbourne,P2: Important,"Equip QDateTime to distinguish the two passes through an ""overlap"" hour during a time-zone fall-back, such as the end of DST","While QDateTime can map a UTC time to a local time, or time in some specified zone, in the overlap period of a zone transition, and will know which repeat of the time it represents (to the degree that it has the right offset from UTC, and will give the right time-zone if toString() is called with a suitable format) , we provide no way to indicate which repeat to use when constructing a time in this interval.  The existing implementation will pick one of them; the user can check its isDaylightTime() and addSecs(60 * 60) (or minus that) to fix it up, but there should be a way to tell the constructor which repeat to use, when the specified time happens twice. Python's datetime objects handle this using a ""fold"" parameter, set to 0 to get the first pass and 1 to get the second; this also affects handling of times in the gap when a time-zone transition skips an hour (as at the start of DST); PEP495 specifies the full semantics.  In general, fold=0 selects the UTC offset in effect before the transition while fold=1 selects the offset in effect after the transition.  I propose to add a parameter with the same semantics.",,21.0,1,2,0,365839.0333333333,0,0,0,0,0,0,0
QTCREATORBUG-24216,Technical task,QTCREATORBUG,2020-06-18 07:27:08,2020-08-04 11:20:25.104,Riitta-Leena Miettinen,P2: Important,Document setting up and using Meson build system,Describe configuring Meson ( https://mesonbuild.com/ ) to be used for building apps from Qt Creator. Add a separate topic and link to it from here: https://doc-snapshots.qt.io/qtcreator-master/creator-project-other.html Here are some instructions for writing Qt Creator documentation: https://doc.qt.io/qtcreator-extending/qtcreator-documentation.html,,,4,1,0,67913.28506666666,0,0,0,0,0,0,0
QTBUG-88792,Task,QTBUG,2020-11-24 09:32:46,2020-12-10 08:14:20.956,Mikko Gronoff,P3: Somewhat important,Push Qt 5.15.2 content to upstream meta-qt5 ,Post-release task. Push 5.15.2 content to open source community,,,1,0,0,22961.5826,0,0,0,0,0,0,1
QTBUG-86663,Task,QTBUG,2020-09-15 09:57:29,2020-12-21 11:23:58.000,Mikko Gronoff,P3: Somewhat important,Push Qt 5.12.10 content to upstream meta-qt5 ,"Post-release task.

Pushing 5.12 content to open source community",,,1,0,0,139766.48333333334,2,8,1,0,0,0,0
QDS-3510,Task,QDS,2021-01-08 10:27:59,2021-01-11 10:33:52.000,Henning Gründl,P3: Somewhat important,Resarch QML Flexbox,Have a look at qml-flexbox and see if it is sufficient for PropertyEditor layouts.  This project is using Yoga .,,,1,0,0,4325.883333333333,0,0,0,0,0,0,0
QTBUG-84776,User Story,QTBUG,2020-06-08 07:58:22,2021-02-23 15:44:00.000,Assam Boudjelthia,P1: Critical,Deprecate and move QtPurchasing as an example,"Do the necessary changes to move the code in qt5/qtpurchasing module to qtdoc/examples/demos probably under the example qthangman (or another more descriptive name) example.

The example should be organized in a way such that it's easy for users to copy-paste or use easily in their code.

Dependencies:

Android Extras",,,7,1,0,374865.63333333336,2,39,1,1,1,1,0
QTBUG-96795,Task,QTBUG,2021-09-22 17:12:25,2021-10-07 08:14:22.000,Lauri Laanmets,P2: Important,QtLocation maps to Qt 6.2,"I have started to port QtLocation maps to Qt 6.2 and this issue is to track and collect all the relevant information.

Current status:
 * All classes are included into CMake build and modified for Qt 6. It builds!
 * OpenGL backend code of MapPolyline, MapPolygn, MapcCircle and MapRectangle is deleted. Software rendering (which is default) is available.
 * Labs project has no QSG implementations included (only interface classes) because they depended on the main MapPolyline, etc.
 * One geoservice (mapbox-gl) has CMake build file but is still not included into build because it has compile errors.

WIP:
 * GL backends: I'm trying to include MapPolyline.OpenGLLineStrip back into the code. Seems quite feasible. Geometry is in place, material look correct. But.... line is not visible on the map because vertices seemt to have wrong coordinates. They are in range 0.0-1.0 relative to the world map.

Bigger modifications:
 * Mouse and touch input part is re-written to support new 'exclusiveGrabber' and to be able to share different touch point between different child items. For example, one finger can pan the map and another finger can scroll child ListView.

Known issues:
 * -Map tiles are not visible during flick animation. But they are when performing 'center' property CoordinateAnimation on the QML side. No idea, what's the cause. Flick movement is basically the same, only on the C++ side.- Fixed with [https://codereview.qt-project.org/c/qt/qtlocation/+/373996]

 ",,,18,6,0,21061.95,10,366,1,1,1,1,0
